Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YNR005C	XIV	YNR005C	-	636931	637335	405	0.3852	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	1550	0
YPR125W	XVI	YPR125W	+	787961	789325	1365	0.4015	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	459.8	0
YPR158W	XVI	YPR158W	+	843262	844020	759	0.3676	FALSE	3.701	0.05472	NA	0	0	3.008	0	0	0	826.9	0
YAL041W	I	YAL041W	+	62840	65404	2565	0.3891	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	163.1	80.48
YBL033C	II	YBL033C	-	158656	159693	1038	0.4798	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	403.1	198.9
YCR092C	III	YCR092C	-	276764	279820	3057	0.368	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	136.9	67.53
YDL048C	IV	YDL048C	-	366739	368211	1473	0.4481	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	284.1	140.2
YDR153C	IV	YDR153C	-	766736	767971	1236	0.4029	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	338.5	167
YDR174W	IV	YDR174W	+	812110	812850	741	0.4359	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	564.7	278.6
YDR261C-D	IV	YDR261C-D	-	987534; 991045	991043; 992349	4815	0.3882	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	86.9	42.87
YDR310C	IV	YDR310C	-	1081128	1084316	3189	0.4077	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	131.2	64.74
YDR455C	IV	YDR455C	-	1367373	1367681	309	0.4142	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	1354	668.1
YER024W	V	YER024W	+	202192	204963	2772	0.4109	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	150.9	74.47
YER130C	V	YER130C	-	421115	422446	1332	0.3806	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	314.1	155
YER157W	V	YER157W	+	484788	487193	2406	0.3603	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	173.9	85.8
YGR052W	VII	YGR052W	+	593596	594705	1110	0.3946	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	376.9	186
YHR172W	VIII	YHR172W	+	448335	450806	2472	0.3617	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	169.3	83.51
YJR125C	X	YJR125C	-	654737	655963	1227	0.4091	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	341	168.2
YLR399C	XII	YLR399C	-	919536	921596	2061	0.4304	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	203	100.2
YMR101C	XIII	YMR101C	-	468445	469476	1032	0.3411	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	405.4	200
YOR118W	XV	YOR118W	+	546857	548560	1704	0.3738	FALSE	3.7	0.05477	NA	0	0	2.005	0.9966	0	0	245.5	121.2
YAL013W	I	YAL013W	+	129270	130487	1218	0.5148	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	171.8	339
YBR049C	II	YBR049C	-	334386	336818	2433	0.3872	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	85.99	169.7
YBR117C	II	YBR117C	-	474392	476437	2046	0.4492	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	102.3	201.8
YCL059C	III	YCL059C	-	22429	23379	951	0.3838	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	220	434.2
YDR299W	IV	YDR299W	+	1059627	1061231	1605	0.3713	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	130.3	257.2
YIL103W	IX	YIL103W	+	171751	173028	1278	0.3787	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	163.7	323.1
YIL086C	IX	YIL086C	-	200153	200461	309	0.3528	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	677	1336
YIL020C	IX	YIL020C	-	314035	314820	786	0.3906	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	266.2	525.3
PWR1	IX	PWR1	+	395999	396939	941	0.3921	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	222.3	438.8
YER145C-A	V	YER145C-A	-	462386	462823	438	0.4543	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	477.6	942.7
YGL071W	VII	YGL071W	+	372012	374084	2073	0.4009	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	100.9	199.2
YGL059W	VII	YGL059W	+	392223	393698	1476	0.3564	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	141.7	279.7
YGL043W	VII	YGL043W	+	417483	418412	930	0.4022	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	225	444
YGR082W	VII	YGR082W	+	644044	644595	552	0.433	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	379	748
YGR240C	VII	YGR240C	-	970771	973734	2964	0.4157	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	70.58	139.3
YHR084W	VIII	YHR084W	+	274174	276240	2067	0.3982	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	101.2	199.7
YJL159W	X	YJL159W	+	120449	121690	1242	0.4879	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	168.4	332.4
YJR070C	X	YJR070C	-	569621	570598	978	0.4509	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	213.9	422.2
YKL010C	XI	YKL010C	-	421424	425875	4452	0.3756	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	46.99	92.74
YLR070C	XII	YLR070C	-	274141	275211	1071	0.4454	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	195.3	385.5
YLR135W	XII	YLR135W	+	413281	415527	2247	0.3783	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	93.1	183.7
YLR316C	XII	YLR316C	-	765266; 766130; 766250	766073; 766181; 766358	969	0.4438	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	215.9	426.1
YLR418C	XII	YLR418C	-	956914	958095	1182	0.3883	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	177	349.3
YMR164C	XIII	YMR164C	-	587274	589550	2277	0.3887	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	91.88	181.3
YMR294W	XIII	YMR294W	+	856966	858087	1122	0.3788	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	186.5	368
YNL273W	XIV	YNL273W	+	122883	126599	3717	0.3766	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	56.28	111.1
YNL190W	XIV	YNL190W	+	282395	283009	615	0.4455	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	340.2	671.4
YNL139C	XIV	YNL139C	-	360924	365717	4794	0.3625	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	43.64	86.12
YOR147W	XV	YOR147W	+	606607	608475	1869	0.351	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	111.9	220.9
YOR211C	XV	YOR211C	-	738924	741569	2646	0.3745	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	79.06	156
YOR358W	XV	YOR358W	+	1010161	1010889	729	0.4719	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	287	566.4
YOR378W	XV	YOR378W	+	1049511	1051058	1548	0.4528	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	135.1	266.7
YPL053C	XVI	YPL053C	-	457118	458458	1341	0.3736	FALSE	3.7	0.05481	NA	0	0	1.003	1.993	0	0	156	307.9
YAL009W	I	YAL009W	+	135854	136633	780	0.4141	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	794
YBR214W	II	YBR214W	+	651415	652998	1584	0.4558	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	391
YDR314C	IV	YDR314C	-	1090433	1092511	2079	0.355	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	297.9
YIL064W	IX	YIL064W	+	241943	242716	774	0.4199	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	800.2
YLR103C	XII	YLR103C	-	343989	345941	1953	0.3835	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	317.1
YPL108W	XVI	YPL108W	+	348446	348952	507	0.4241	FALSE	3.699	0.05486	NA	0	0	0	2.99	0	0	0	1222
YBR001C	II	YBR001C	-	238941	241283	2343	0.3931	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	89.61	172.9	0	0
YDR336W	IV	YDR336W	+	1145092	1146036	945	0.3672	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	222.2	428.8	0	0
YDR385W	IV	YDR385W	+	1243230	1245758	2529	0.444	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	83.02	160.2	0	0
YEL059C-A	V	YEL059C-A	-	42400	42624	225	0.5111	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	933.1	1801	0	0
YER133W	V	YER133W	+	432495; 433197	432671; 433958	939	0.3578	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	223.6	431.5	0	0
YGR067C	VII	YGR067C	-	622372	624786	2415	0.3797	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	86.94	167.8	0	0
YLR006C	XII	YLR006C	-	161755	163893	2139	0.4137	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	98.15	189.4	0	0
YLR292C	XII	YLR292C	-	719789	720370	582	0.3866	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	360.7	696.2	0	0
YLR447C	XII	YLR447C	-	1026856	1027893	1038	0.3786	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	202.3	390.4	0	0
YMR061W	XIII	YMR061W	+	392755	394788	2034	0.353	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	103.2	199.2	0	0
YMR094W	XIII	YMR094W	+	455825	457261	1437	0.3479	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	146.1	282	0	0
YMR160W	XIII	YMR160W	+	575066	577516	2451	0.3688	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	85.66	165.3	0	0
YNL201C	XIV	YNL201C	-	260627	263203	2577	0.3624	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	81.47	157.2	0	0
YOL162W	XV	YOL162W	+	10119	10766	648	0.3781	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	324	625.3	0	0
YOR294W	XV	YOR294W	+	868340	868951	612	0.4118	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	343.1	662.1	0	0
YOR371C	XV	YOR371C	-	1031489	1034182	2694	0.3953	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	77.93	150.4	0	0
YPL281C	XVI	YPL281C	-	9557	10870	1314	0.4658	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	159.8	308.4	0	0
YPR089W	XVI	YPR089W	+	713275	715941	2667	0.3731	FALSE	-3.698	0.05489	NA	1.028	1.948	0	0	78.72	151.9	0	0
YDR446W	IV	YDR446W	+	1353725	1354633	909	0.3663	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	668.6	0	0
YGL222C	VII	YGL222C	-	80659	81186	528	0.4129	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	1151	0	0
YJL176C	X	YJL176C	-	92053	94530	2478	0.3955	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	245.3	0	0
YKL095W	XI	YKL095W	+	262277	263113	837	0.4014	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	726.1	0	0
YKR031C	XI	YKR031C	-	501344	506395	5052	0.3727	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	120.3	0	0
YMR313C	XIII	YMR313C	-	899379	901307	1929	0.3743	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	315.1	0	0
YOR205C	XV	YOR205C	-	725564	727234	1671	0.38	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	363.7	0	0
YPL092W	XVI	YPL092W	+	373793	375169	1377	0.3907	FALSE	-3.691	0.0553	NA	0	2.922	0	0	0	441.4	0	0
YMR019W	XIII	YMR019W	+	312156	315005	2850	0.3758	FALSE	-1.165	0.05714	NA	9.248	6.818	3.008	3.986	663	497.6	220.2	289.7
YGR113W	VII	YGR113W	+	718893	719924	1032	0.4012	FALSE	-1.165	0.05714	NA	8.22	7.792	3.008	3.986	1628	1570	608.2	800.2
YDR515W	IV	YDR515W	+	1473429	1474772	1344	0.3452	FALSE	-2.327	0.05917	NA	5.138	0.974	1.003	0	781.1	150.7	155.7	0
YJL052W	X	YJL052W	+	338271	339269	999	0.4605	FALSE	-1.872	0.06177	NA	2.055	5.844	1.003	0.9966	420.3	1217	209.4	206.6
YBR074W	II	YBR074W	+	386286	389216	2931	0.3787	FALSE	2.319	0.0626	NA	1.028	0	1.003	4.983	71.63	0	71.38	352.2
Q0055	MT	Q0055	+	13818; 16435	13986; 18830	2565	0.2651	FALSE	-1.405	0.0652	NA	5.138	5.844	2.005	1.993	409.3	473.9	163.1	161
YHL023C	VIII	YHL023C	-	59123	62563	3441	0.3737	FALSE	-1.405	0.0652	NA	6.165	4.87	2.005	1.993	366.1	294.4	121.6	120
YJL072C	X	YJL072C	-	305221	305862	642	0.3801	FALSE	1.404	0.06547	NA	1.028	2.922	7.018	3.986	327	946.7	2281	1286
YAL027W	I	YAL027W	+	94687	95472	786	0.3842	FALSE	2.32	0.06688	NA	1.028	0	5.013	0.9966	267.1	0	1331	262.6
YLL062C	XII	YLL062C	-	16639	17613	975	0.4031	FALSE	-1.871	0.07388	NA	2.055	5.844	0	1.993	430.7	1247	0	423.5
YML076C	XIII	YML076C	-	112513	115347	2835	0.3817	FALSE	-1.51	0.07632	NA	6.165	2.922	2.005	0.9966	444.3	214.4	147.6	72.82
snR86	XIII	snR86	-	762110	763113	1004	0.3476	FALSE	-1.51	0.07632	NA	6.165	2.922	2.005	0.9966	1255	605.4	416.7	205.6
YDR228C	IV	YDR228C	-	921926	923806	1881	0.3674	FALSE	1.508	0.0766	NA	3.083	0	5.013	3.986	334.9	0	556.1	439
YMR137C	XIII	YMR137C	-	542978	544963	1986	0.358	FALSE	1.508	0.07675	NA	1.028	1.948	3.008	5.98	105.7	204	316	623.7
Q0060	MT	Q0060	+	13818; 16435; 18954	13986; 16470; 19996	1248	0.2163	FALSE	-1.223	0.08475	NA	5.138	6.818	2.005	2.99	841.2	1136	335.3	496.3
YAR002W	I	YAR002W	+	152257	153876	1620	0.3951	FALSE	1.072	0.08484	NA	4.11	2.922	8.02	6.976	518.4	375.2	1033	892
YNL250W	XIV	YNL250W	+	175410	179348	3939	0.343	FALSE	1.222	0.08511	NA	2.055	2.922	7.018	4.983	106.6	154.3	371.8	262
YLR410W	XII	YLR410W	+	937541	940981	3441	0.3903	FALSE	1.222	0.08511	NA	3.083	1.948	6.015	5.98	183	117.8	364.8	360
YBL022C	II	YBL022C	-	177874	181275	3402	0.4068	FALSE	-1.689	0.08624	NA	4.11	2.922	1.003	0.9966	246.9	178.7	61.49	60.68
YML004C	XIII	YML004C	-	261705	262685	981	0.4067	FALSE	-1.689	0.08624	NA	3.083	3.896	0	1.993	642.1	826.1	0	420.9
YDR305C	IV	YDR305C	-	1072746; 1073402	1073312; 1073488	654	0.3807	FALSE	-1.689	0.08624	NA	3.083	3.896	1.003	0.9966	963.1	1239	319.9	315.7
YLL015W	XII	YLL015W	+	116432	121111	4680	0.3684	FALSE	-1.689	0.08624	NA	3.083	3.896	2.005	0	134.6	173.2	89.4	0
YBR076W	II	YBR076W	+	390227	391291	1065	0.369	FALSE	1.687	0.08651	NA	0	1.948	3.008	3.986	0	380.5	589.3	775.4
YPR055W	XVI	YPR055W	+	667676	670873	3198	0.343	FALSE	1.687	0.08651	NA	0	1.948	3.008	3.986	0	126.7	196.3	258.2
YLR443W	XII	YLR443W	+	1022625	1023971	1347	0.4113	FALSE	1.687	0.08651	NA	1.028	0.974	3.008	3.986	155.9	150.4	465.9	613
YGR261C	VII	YGR261C	-	1014321	1016750	2430	0.3757	FALSE	1.687	0.08651	NA	2.055	0	4.01	2.99	172.8	0	344.4	254.9
YNL102W	XIV	YNL102W	+	430087	434493	4407	0.3762	FALSE	1.687	0.08651	NA	2.055	0	4.01	2.99	95.28	0	189.9	140.5
Q0050	MT	Q0050	+	13818	16322	2505	0.2495	FALSE	-2.071	0.08903	NA	2.055	2.922	0	0.9966	167.6	242.6	0	82.41
YGL179C	VII	YGL179C	-	163409	165091	1683	0.3993	FALSE	-2.071	0.0891	NA	2.055	2.922	0	0.9966	249.5	361.1	0	122.7
YLR253W	XII	YLR253W	+	642627	644336	1710	0.4076	FALSE	-2.071	0.08917	NA	2.055	2.922	0	0.9966	245.6	355.4	0	120.7
YMR089C	XIII	YMR089C	-	445609	448086	2478	0.3999	FALSE	-2.071	0.08921	NA	2.055	2.922	0	0.9966	169.5	245.3	0	83.31
YNL318C	XIV	YNL318C	-	38707	40329	1623	0.3611	FALSE	2.07	0.08954	NA	0	0.974	3.008	1.993	0	124.8	386.7	254.4
YGR184C	VII	YGR184C	-	859901	865753	5853	0.367	FALSE	2.07	0.08956	NA	0	0.974	3.008	1.993	0	34.61	107.2	70.54
YDR218C	IV	YDR218C	-	903781	905052	1272	0.3648	FALSE	-1.689	0.08997	NA	5.138	1.948	1.003	0.9966	825.3	318.5	164.5	162.3
YGR047C	VII	YGR047C	-	586392	589469	3078	0.3756	FALSE	-1.689	0.09009	NA	5.138	1.948	1.003	0.9966	341.1	131.6	67.97	67.07
YJR046W	X	YJR046W	+	522048	523862	1815	0.4402	FALSE	-2.07	0.09072	NA	1.028	3.896	0	0.9966	115.7	446.5	0	113.7
YDL014W	IV	YDL014W	+	427364	428347	984	0.4746	FALSE	-2.07	0.09229	NA	1.028	3.896	1.003	0	213.4	823.5	212.6	0
YBR097W	II	YBR097W	+	436951	441315	4365	0.3471	FALSE	-2.071	0.09253	NA	2.055	2.922	1.003	0	96.2	139.2	47.93	0
YOR356W	XV	YOR356W	+	1007221	1009116	1896	0.4193	FALSE	-2.07	0.09276	NA	1.028	3.896	1.003	0	110.7	427.4	110.3	0
YCR030C	III	YCR030C	-	173826	176438	2613	0.4168	FALSE	-2.071	0.09303	NA	2.055	2.922	1.003	0	160.7	232.6	80.06	0
YER028C	V	YER028C	-	210692	211876	1185	0.4354	FALSE	-2.071	0.09367	NA	2.055	2.922	1.003	0	354.3	512.9	176.5	0
YER076C	V	YER076C	-	312590	313498	909	0.4477	FALSE	-2.071	0.09429	NA	2.055	2.922	1.003	0	461.9	668.6	230.1	0
YJL033W	X	YJL033W	+	383837	386149	2313	0.3822	FALSE	-2.07	0.09482	NA	2.055	2.922	1.003	0	181.5	262.8	90.45	0
YBR258C	II	YBR258C	-	729734	730162	429	0.366	FALSE	-2.072	0.0961	NA	3.083	1.948	1.003	0	1468	944.5	487.7	0
YFR055W	VI	YFR055W	+	264204	265226	1023	0.433	FALSE	2.069	0.09615	NA	1.028	0	2.005	2.99	205.2	0	409	605.4
YLL002W	XII	YLL002W	+	146291	147601	1311	0.3905	FALSE	-2.072	0.09619	NA	3.083	1.948	1.003	0	480.4	309.1	159.6	0
YCL043C	III	YCL043C	-	48653	50221	1569	0.4729	FALSE	2.069	0.0964	NA	1.028	0	3.008	1.993	133.8	0	400	263.1
YGL064C	VII	YGL064C	-	381523	383208	1686	0.3938	FALSE	2.069	0.09642	NA	1.028	0	3.008	1.993	124.5	0	372.3	244.9
YLR142W	XII	YLR142W	+	425186	426616	1431	0.4116	FALSE	-1.864	0.1007	NA	1.028	6.818	1.003	0.9966	146.7	991	146.2	144.3
YOR341W	XV	YOR341W	+	960987	965981	4995	0.3812	FALSE	-1.271	0.1029	NA	4.11	5.844	1.003	2.99	168.1	243.4	41.88	124
YDL207W	IV	YDL207W	+	88248	89864	1617	0.3939	FALSE	-1.271	0.1029	NA	4.11	5.844	2.005	1.993	519.4	751.7	258.8	255.3
YOL063C	XV	YOL063C	-	207392	210265	2874	0.3918	FALSE	-1.271	0.1029	NA	4.11	5.844	2.005	1.993	292.2	423	145.6	143.7
YDL170W	IV	YDL170W	+	156318	157904	1587	0.3844	FALSE	-1.271	0.1029	NA	4.11	5.844	4.01	0	529.2	765.9	527.3	0
YMR147W	XIII	YMR147W	+	559199	559870	672	0.3973	FALSE	1.269	0.1033	NA	1.028	2.922	4.01	5.98	312.4	904.4	1245	1843
YBL010C	II	YBL010C	-	206107	206949	843	0.3808	FALSE	-3.176	0.1055	NA	2.055	0	0	0	498.1	0	0	0
YBR143C	II	YBR143C	-	530869	532182	1314	0.3691	FALSE	-3.176	0.1055	NA	2.055	0	0	0	319.6	0	0	0
YCL002C	III	YCL002C	-	110808; 111634	111557; 111675	792	0.351	FALSE	-3.176	0.1055	NA	2.055	0	0	0	530.2	0	0	0
YCR004C	III	YCR004C	-	119575	120318	744	0.4489	FALSE	-3.176	0.1055	NA	2.055	0	0	0	564.4	0	0	0
YCR095C	III	YCR095C	-	288170	289258	1089	0.3407	FALSE	-3.176	0.1055	NA	2.055	0	0	0	385.6	0	0	0
YDR011W	IV	YDR011W	+	465919	470424	4506	0.3953	FALSE	-3.176	0.1055	NA	2.055	0	0	0	93.19	0	0	0
YDR055W	IV	YDR055W	+	563527	564861	1335	0.4142	FALSE	-3.176	0.1055	NA	2.055	0	0	0	314.5	0	0	0
YDR240C	IV	YDR240C	-	943674	945152	1479	0.3685	FALSE	-3.176	0.1055	NA	2.055	0	0	0	283.9	0	0	0
YDR270W	IV	YDR270W	+	1005675	1008689	3015	0.393	FALSE	-3.176	0.1055	NA	2.055	0	0	0	139.3	0	0	0
YDR316W	IV	YDR316W	+	1093763	1095178	1416	0.3524	FALSE	-3.176	0.1055	NA	2.055	0	0	0	296.5	0	0	0
YDR444W	IV	YDR444W	+	1350290	1352353	2064	0.4026	FALSE	-3.176	0.1055	NA	2.055	0	0	0	203.4	0	0	0
YIL108W	IX	YIL108W	+	160887	162977	2091	0.4467	FALSE	-3.176	0.1055	NA	2.055	0	0	0	200.8	0	0	0
YIL033C	IX	YIL033C	-	290419	291669	1251	0.4588	FALSE	-3.176	0.1055	NA	2.055	0	0	0	335.7	0	0	0
YIL029C	IX	YIL029C	-	300829	301257	429	0.3543	FALSE	-3.176	0.1055	NA	2.055	0	0	0	978.8	0	0	0
YIL009W	IX	YIL009W	+	339344	341428	2085	0.4038	FALSE	-3.176	0.1055	NA	2.055	0	0	0	201.4	0	0	0
YIR023W	IX	YIR023W	+	399777	402689	2913	0.3992	FALSE	-3.176	0.1055	NA	2.055	0	0	0	144.1	0	0	0
YER074W-A	V	YER074W-A	+	307653; 307849; 308068	307746; 307956; 308123	258	0.3682	FALSE	-3.176	0.1055	NA	2.055	0	0	0	1628	0	0	0
YGL130W	VII	YGL130W	+	266145	267524	1380	0.4007	FALSE	-3.176	0.1055	NA	2.055	0	0	0	304.3	0	0	0
YGR155W	VII	YGR155W	+	798543	800066	1524	0.4029	FALSE	-3.176	0.1055	NA	2.055	0	0	0	275.5	0	0	0
YHL032C	VIII	YHL032C	-	36379	38508	2130	0.4704	FALSE	-3.176	0.1055	NA	2.055	0	0	0	197.1	0	0	0
YHR050W	VIII	YHR050W	+	207654	209303	1650	0.4352	FALSE	-3.176	0.1055	NA	2.055	0	0	0	254.5	0	0	0
YJL089W	X	YJL089W	+	265926	268415	2490	0.3245	FALSE	-3.176	0.1055	NA	2.055	0	0	0	168.6	0	0	0
YJL085W	X	YJL085W	+	272827	274698	1872	0.3616	FALSE	-3.176	0.1055	NA	2.055	0	0	0	224.3	0	0	0
YJR083C	X	YJR083C	-	582608	583537	930	0.3871	FALSE	-3.176	0.1055	NA	2.055	0	0	0	451.5	0	0	0
YJR148W	X	YJR148W	+	705744	706874	1131	0.4439	FALSE	-3.176	0.1055	NA	2.055	0	0	0	371.3	0	0	0
YKL172W	XI	YKL172W	+	125759	127042	1284	0.3949	FALSE	-3.176	0.1055	NA	2.055	0	0	0	327	0	0	0
YKL120W	XI	YKL120W	+	217344	218318	975	0.3908	FALSE	-3.176	0.1055	NA	2.055	0	0	0	430.7	0	0	0
YKR061W	XI	YKR061W	+	557677	558954	1278	0.385	FALSE	-3.176	0.1055	NA	2.055	0	0	0	328.6	0	0	0
YLR261C	XII	YLR261C	-	668237	668563	327	0.3853	FALSE	-3.176	0.1055	NA	2.055	0	0	0	1284	0	0	0
YLR262C	XII	YLR262C	-	668244	668891	648	0.3611	FALSE	-3.176	0.1055	NA	2.055	0	0	0	648	0	0	0
YLR321C	XII	YLR321C	-	776584	777864	1281	0.3927	FALSE	-3.176	0.1055	NA	2.055	0	0	0	327.8	0	0	0
YLR328W	XII	YLR328W	+	784913	786118	1206	0.4022	FALSE	-3.176	0.1055	NA	2.055	0	0	0	348.2	0	0	0
YLR350W	XII	YLR350W	+	828730	829380	651	0.47	FALSE	-3.176	0.1055	NA	2.055	0	0	0	645	0	0	0
YLR423C	XII	YLR423C	-	971917	973170	1254	0.3421	FALSE	-3.176	0.1055	NA	2.055	0	0	0	334.9	0	0	0
YML086C	XIII	YML086C	-	95791	97371	1581	0.4067	FALSE	-3.176	0.1055	NA	2.055	0	0	0	265.6	0	0	0
YML042W	XIII	YML042W	+	192788	194800	2013	0.3949	FALSE	-3.176	0.1055	NA	2.055	0	0	0	208.6	0	0	0
YMR034C	XIII	YMR034C	-	339418	340722	1305	0.3977	FALSE	-3.176	0.1055	NA	2.055	0	0	0	321.8	0	0	0
YMR097C	XIII	YMR097C	-	459424	460527	1104	0.3687	FALSE	-3.176	0.1055	NA	2.055	0	0	0	380.3	0	0	0
YNL324W	XIV	YNL324W	+	31050	31445	396	0.3611	FALSE	-3.176	0.1055	NA	2.055	0	0	0	1060	0	0	0
YNL168C	XIV	YNL168C	-	318030	318809	780	0.4179	FALSE	-3.176	0.1055	NA	2.055	0	0	0	538.3	0	0	0
YNL154C	XIV	YNL154C	-	343636	345276	1641	0.3979	FALSE	-3.176	0.1055	NA	2.055	0	0	0	255.9	0	0	0
YNL082W	XIV	YNL082W	+	473391	476012	2622	0.3574	FALSE	-3.176	0.1055	NA	2.055	0	0	0	160.1	0	0	0
YNL076W	XIV	YNL076W	+	483556	485310	1755	0.3966	FALSE	-3.176	0.1055	NA	2.055	0	0	0	239.3	0	0	0
YNR060W	XIV	YNR060W	+	739951	742110	2160	0.3986	FALSE	-3.176	0.1055	NA	2.055	0	0	0	194.4	0	0	0
YOL035C	XV	YOL035C	-	258803	259105	303	0.3828	FALSE	-3.176	0.1055	NA	2.055	0	0	0	1386	0	0	0
YOR207C	XV	YOR207C	-	730008	733457	3450	0.3719	FALSE	-3.176	0.1055	NA	2.055	0	0	0	121.7	0	0	0
YPL132W	XVI	YPL132W	+	301716	302618	903	0.3931	FALSE	-3.176	0.1055	NA	2.055	0	0	0	465	0	0	0
YBL099W	II	YBL099W	+	37053	38690	1638	0.4365	FALSE	-3.17	0.1059	NA	1.028	0.974	0	0	128.2	123.7	0	0
YBL089W	II	YBL089W	+	49574	50953	1380	0.3877	FALSE	-3.17	0.1059	NA	1.028	0.974	0	0	152.1	146.8	0	0
YBL053W	II	YBL053W	+	119335	119709	375	0.376	FALSE	-3.17	0.1059	NA	1.028	0.974	0	0	559.9	540.2	0	0
